year,quarter,CFO,CFF,CFI,ending_cash_balance,net_change_in_cash,revenue,cost_of_goods_sold,gross_profit,net_income,operating_expenses,operating_income,accounts_receivable,inventory,accounts_payable,tax_expense,interest_expense,total_assets,total_equity,total_liabilities,da_expense,EBITDA
2016,Q1,560596,-7421,-356360,8847163,191601,3928723,2230147,1698576,958008,620528,1080656,2559418,1852936,934321,-272386,-3392,28208835,24821132,3387703,249175,1329831
2016,Q2,910291,-1530488,-274162,7949285,-897878,3813181,2276824,1536357,1471157,663139,887289,2432875,1631031,911486,585005,-3323,27787225,24761160,3026065,237983,1125272
2016,Q3,263468,-4045,-306066,7897846,-51439,3604626,2112921,1491705,718400,656928,821360,2725819,1736297,684438,-213440,-2564,27984857,25477930,2506927,243061,1064421
2016,Q4,1811758,-5258,-37371,9674030,1776184,4015364,2410541,1604823,722754,773275,855290,2605323,1780410,1518841,176134,-2544,30150580,26138703,4011877,263061,1118351
2017,Q1,-48115,-3652,-274611,9346294,-327736,3376412,2212475,1163937,491562,665302,499792,2449245,2017991,1027109,-131015,-2997,29840498,26630305,3210193,272346,772138
2017,Q2,790923,-3418736,-192402,6531929,-2814365,3167306,2090020,1077286,410278,687414,394842,2459982,2020870,1173558,-103636,-2439,27293770,23621349,3672421,266182,661024
2017,Q3,508794,-289,-87174,6967987,436058,3968858,2585529,1383329,504640,818024,569861,2791588,1692820,1169659,-146679,-3865,27453589,24127176,3326413,306629,876490
2017,Q4,1530203,-1872,-206501,8294891,1326904,3918635,2535466,1383169,453338,909463,410350,2484800,1768603,1548844,-46126,-4792,28863676,24556507,4307169,332879,743229
2018,Q1,-189831,-666,-144772,7972613,-335269,3439508,2452689,986819,264265,758188,236668,2656650,1889499,1201362,-61050,-5803,28606339,24821731,3784608,320402,557070
2018,Q2,279503,-2576567,-147405,5545386,-2414236,3044900,2332147,712753,90841,710130,18067,2521603,2003688,1478483,-10036,-7563,26461200,22336317,4124883,294986,313053
2018,Q3,338506,-564,-127744,5778773,233387,4288449,3109517,1178932,262585,913438,271942,3142850,1845875,1425284,-72340,-6529,26634347,22599659,4034688,343797,615739
2018,Q4,1556354,-816,-85171,7225876,1416945,4417426,2926901,1490525,528246,940794,547434,2965777,1837769,1759956,-110865,-5295,27788562,23221589,4566973,320377,867811
2019,Q1,-39803,-563,-194001,6979294,-234367,3732756,2569145,1163611,396945,788377,395034,3107866,1941844,1385203,-102385,-2583,27543528,23618303,3925225,307082,702116
2019,Q2,907098,-2024788,-166663,5689401,-1284353,3249854,2270872,978982,243083,768827,195171,2708926,2023719,1393138,-54384,-1790,25852869,21836655,4016214,274798,469969
2019,Q3,634065,-394,-294257,6026375,339414,4365299,2830314,1534985,535760,934899,618374,3174624,1906864,1256008,-156900,-1517,26378871,22372354,4006517,292591,910965
2019,Q4,2029412,-612,-391045,7651750,1637755,4591439,2768700,1822739,659517,1011127,696476,2984151,1895176,1748776,-125453,-1848,27707749,23080261,4627488,326124,1022600
2020,Q1,180464,-2125,-220012,7758438,-41673,3362755,2298298,1064457,400432,770933,386374,2577111,2016477,1369174,-57732,-8153,27381603,23482688,3898915,331379,717753
2020,Q2,318088,696,-177525,7780338,141259,2812485,1997011,815474,69597,694383,-8599,2298729,1833107,1132406,-21878,15256,27037394,23538141,3499253,243039,234440
2020,Q3,941425,-1840792,-90640,6834767,-990007,3974314,2416747,1557567,646718,844250,736028,2855082,1790843,1341957,-163053,-5784,26337588,22344865,3992723,310596,1046624
2020,Q4,2098034,-1020477,-173557,7697631,904000,4034768,2358714,1676054,689590,843949,762142,2584652,1823772,1580229,-99328,-39059,27344672,22176248,5168424,517029,1279171
2021,Q1,292976,-53580,-32454,7929148,206942,3438045,2338465,1099580,351317,735261,395492,2618806,1818668,1394606,-87917,-13111,27332062,22527835,4804227,335506,730998
2021,Q2,249824,-59369,-41154,8077779,149301,3228895,2234395,994500,235260,750309,246161,2696475,1842755,1523250,-56370,-8153,27357176,22763072,4594104,303431,549592
2021,Q3,747567,-1880200,-110440,6817894,-1243073,3941713,2443541,1498172,621681,833796,769059,2817557,1997480,1592752,-187650,-3581,26256521,21549654,4706867,313281,1082340
2021,Q4,1316340,-1610372,-374097,6141267,-668129,4163253,2629223,1534030,580238,899375,660154,2586792,2267421,2082752,-113569,-6791,26136114,20620964,5515150,300799,960953
2022,Q1,-3592,-336940,-242966,5562790,-583498,3557727,2597283,960444,182555,776909,206772,2622445,2401398,1816533,-47034,-7297,25902841,20545629,5357212,284215,490987
2022,Q2,75124,-2366854,-159070,3143836,-2450800,3353349,2545005,808344,108993,726478,434881,2733113,2413099,1712067,-29094,-10877,23454801,18322629,5132172,298166,733047
2022,Q3,953390,-419183,-145561,3548283,388646,4749869,3076167,1673702,655304,885673,523176,2982641,2389428,1826410,-183179,-10590,24482368,18695168,5787200,290037,813213
